127.0.0.1 - - [11/Oct/2015:10:18:52 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:18:55 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:18:59 -0700] "GET /TestProject/second.jsp?q=Hello+Sushil HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:19:52 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:19:55 -0700] "GET /TestProject/second.jsp?q=HelloSushil HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:24:30 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:24:33 -0700] "GET /TestProject/second.jsp?q=Hello+Sushil+%2430+to+america HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:26:25 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:26:27 -0700] "GET /TestProject/second.jsp?q=1 HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:28:03 -0700] "GET /TestProject/second.jsp?q=1 HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:28:08 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:28:10 -0700] "GET /TestProject/second.jsp?q=%241 HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:33:27 -0700] "GET /TestProject/first.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:33:33 -0700] "GET /TestProject/second.jsp?q=%241 HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:34:20 -0700] "GET /TestProject/second.jsp?q=%241 HTTP/1.1" 200 284
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:45:19 -0700] "GET /TestProject/WEB-INF/classes/URLEncoderTest.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:49:13 -0700] "GET /TestProject/WEB-INF/classes/URLEncoderTest.java HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [11/Oct/2015:10:55:58 -0700] "GET /TestProject/WEB-INF/classes/URLEncoderTest.java HTTP/1.1" 404 992
